Jobid,Date,resignationEntries,seperationPostings,futureDatedEntries,upperManagerUpdates,seperationJobStartTime,seperationJobEndTime,ueperationJobStatus,upperManagerJobStartTime,upperManagerJobEndTime,upperManagerJobStatus
J001,2025-07-01,2,1,0,1,09:00,09:15,Completed,09:20,09:35,Completed
J002,2025-07-02,1,0,1,0,10:00,10:20,Completed,10:25,10:45,Skipped
J003,2025-07-03,3,2,0,2,08:30,08:50,Completed,09:00,09:30,Completed
J004,2025-07-04,0,1,1,1,11:00,11:10,Completed,11:15,11:40,Completed
J005,2025-07-05,2,0,0,0,13:00,13:25,Completed,13:30,13:50,Skipped
J006,2025-07-06,1,1,1,1,14:00,14:15,Completed,14:20,14:45,Completed
J007,2025-07-07,0,0,2,1,15:00,15:10,Completed,15:15,15:35,Completed
J008,2025-07-08,4,3,0,2,16:00,16:30,Completed,16:35,17:00,Completed
J009,2025-07-09,1,1,1,0,17:00,17:20,Completed,17:25,17:45,Skipped
J010,2025-07-10,4,1,3,1,18:00,18:30,Completed,18:35,19:00,Completed
J011,2025-07-11,2,1,2,1,10:00,09:15,Skipped,09:20,09:35,Completed
J012,2025-07-13,1,2,1,0,11:00,10:20,Completed,10:25,10:45,Skipped
J013,2025-07-15,3,2,1,2,06:30,08:50,Completed,09:00,09:30,Skipped
J014,2025-07-17,0,1,2,1,03:00,11:10,Skipped,11:13,11:40,Completed
J015,2025-07-19,2,0,3,0,15:00,13:25,Completed,13:30,13:50,Skipped
J016,2025-07-28,1,1,2,1,13:00,14:15,Completed,13:20,14:45,Completed
J017,2025-07-28,0,3,3,1,14:00,15:10,Skipped,13:15,15:35,Skipped
J018,2025-07-28,4,1,0,2,12:00,16:30,Completed,13:35,17:00,Completed
J019,2025-07-28,1,3,3,0,13:00,17:20,Skipped,13:25,17:45,Skipped
J020,2025-07-28,8,1,2,1,18:00,18:30,Completed,18:35,19:00,Completed
J030,2025-07-30,3,1,2,1,08:30,09:00,Completed,09:15,09:45,Skipped
J031,2025-07-31,2,0,1,0,10:00,10:30,Completed,10:45,11:15,Completed
J032,2025-08-01,1,2,0,2,09:15,09:45,Skipped,10:00,10:30,Completed
J033,2025-08-02,4,1,3,1,11:00,11:30,Completed,11:45,12:15,Skipped
J034,2025-08-03,0,0,2,1,07:30,08:00,Completed,08:15,08:45,Completed
J035,2025-08-04,3,2,1,0,08:45,09:15,Skipped,09:30,10:00,Skipped
J036,2025-08-05,2,1,1,1,10:30,11:00,Completed,11:15,11:45,Completed
J037,2025-08-06,1,0,0,2,09:00,09:30,Completed,09:45,10:15,Skipped
J038,2025-08-07,4,3,2,0,10:15,10:45,Skipped,11:00,11:30,Completed
J039,2025-08-08,2,1,1,1,08:00,08:30,Completed,08:45,09:15,Completed
J040,2025-08-09,0,1,0,1,18:00,16:30,Skipped,16:45,14:30,Completed
J041,2025-08-10,1,0,0,2,09:15,16:00,Skipped,18:15,16:45,Completed
J042,2025-08-11,2,0,0,0,18:45,07:45,Completed,09:00,11:00,Skipped
J043,2025-08-12,4,0,1,2,17:45,17:30,Completed,11:15,16:30,Skipped
J044,2025-08-13,1,0,2,2,10:00,14:30,Completed,17:00,17:15,Skipped
J045,2025-08-14,3,2,3,2,10:00,12:30,Skipped,14:45,07:15,Completed
J046,2025-08-15,2,3,3,0,12:00,15:30,Skipped,08:15,14:30,Completed
J047,2025-08-16,5,0,3,0,17:00,11:30,Skipped,11:00,11:45,Completed
J048,2025-08-17,3,1,2,0,08:45,08:30,Completed,13:15,11:30,Completed
J049,2025-08-18,4,3,0,2,07:45,13:00,Completed,11:30,12:15,Completed
J050,2025-08-19,0,0,3,1,08:15,17:45,Skipped,12:45,16:15,Completed
J051,2025-08-20,0,2,3,2,18:30,17:15,Completed,15:15,09:30,Completed
J052,2025-08-21,0,2,3,1,11:30,12:00,Skipped,15:45,07:45,Skipped
J053,2025-08-22,5,1,1,0,13:45,15:30,Skipped,08:45,12:45,Skipped
J054,2025-08-23,4,1,3,2,07:45,07:15,Skipped,08:45,17:30,Skipped
J055,2025-08-24,0,3,0,2,09:30,07:30,Skipped,08:15,07:15,Skipped
J056,2025-08-25,3,1,2,0,14:00,08:00,Completed,07:15,12:30,Skipped
J057,2025-08-26,4,2,2,1,07:00,18:30,Skipped,08:00,07:30,Completed
J058,2025-08-27,0,2,3,2,15:30,07:30,Skipped,09:00,11:30,Skipped
J059,2025-08-28,2,0,3,0,13:45,14:30,Completed,07:15,16:45,Skipped
J060,2025-08-29,3,1,3,0,07:30,18:00,Skipped,18:15,16:45,Completed
J061,2025-08-30,0,3,2,0,08:30,15:30,Completed,12:15,17:30,Completed
J062,2025-08-31,1,3,3,2,17:00,11:45,Skipped,11:45,16:00,Completed
J063,2025-09-01,0,2,0,1,14:15,16:30,Completed,10:45,18:15,Completed
J064,2025-09-02,0,2,2,2,17:15,07:45,Skipped,13:00,17:15,Skipped
